# eigenvalue IPR
-8.447503330470780725e+00 2.647567058398852397e-02
-8.410179201157506057e+00 2.661051086186335193e-02
-8.405637314300435037e+00 2.202039983822040234e-02
-8.341192648146689592e+00 1.713440484332422881e-02
-8.299514504868106712e+00 1.598885281160531899e-02
-8.233532732181702229e+00 2.046269833367304544e-02
-8.196386395043996131e+00 2.423471111374511308e-02
-8.183651958825809203e+00 1.701989708653191963e-02
-8.132828410925583285e+00 1.945555301687171279e-02
-8.101174479387402982e+00 1.367947904717878652e-02
-8.091622057783521171e+00 2.930371353733389472e-02
-8.033409667135233079e+00 1.907612985879380760e-02
-7.991522984505514238e+00 1.497941578866027537e-02
-7.970841221694610290e+00 1.552259943127358086e-02
-7.948320392141222435e+00 1.548411062705531277e-02
-7.881033334500942011e+00 1.766526388194575650e-02
-7.836892093372868295e+00 1.919086385549882701e-02
-7.808816738936019242e+00 1.611056058754338147e-02
-7.720845208720652941e+00 1.521257148768273906e-02
-7.708361264144092395e+00 2.829130843374330281e-02
-7.646903568351524960e+00 1.894723946858941147e-02
-7.619182568672102640e+00 1.456429967309550051e-02
-7.584300455959724907e+00 2.409665253833948029e-02
-7.544538915942141877e+00 1.844063172737729628e-02
-7.453785200210906403e+00 1.710087671582612157e-02
-7.448761654015055633e+00 1.525323029661859210e-02
-7.363671436720490071e+00 2.843606543018154659e-02
-7.311884490942065717e+00 1.616931029962331845e-02
-7.282504650617608100e+00 1.619663311734768560e-02
-7.243423170387527144e+00 1.835171514430014930e-02
-7.209199326327511592e+00 2.354115252166516514e-02
-7.178690013027456907e+00 1.826085045240671487e-02
-7.156831063549277339e+00 1.823758117660989608e-02
-7.119808715401755528e+00 1.377168688022189363e-02
-7.100350460809550235e+00 1.559736642907157134e-02
-7.077050444316877353e+00 3.988590259603747024e-02
-7.039777029704038291e+00 1.667727123315134244e-02
-7.008430556922379928e+00 2.027498161580034222e-02
-6.996827939895729820e+00 2.714075126826139342e-02
-6.977169161790855334e+00 2.747695452760766377e-02
-6.937855659870488800e+00 1.556841182071135726e-02
-6.919220813272279891e+00 1.533125263786042775e-02
-6.890499675690715087e+00 1.525308614098137318e-02
-6.840264598994408196e+00 1.569085832935404254e-02
-6.809386547334008277e+00 1.490357558523039590e-02
-6.756890297463370665e+00 2.378038161092564315e-02
-6.739377138282560686e+00 2.880352992147464097e-02
-6.691579527363740176e+00 1.436323556134848183e-02
